transaction_id,expected_status
T001,Matched
T002,Matched
T003,Matched
T004,Matched
T005,Matched
T006,Matched
T007,Matched
T008,Matched
T009,Matched
T010,Matched
T011,Matched
T012,Matched
T013,Matched
T014,Matched
T015,Matched
T016,Matched
T017,Matched
T018,Matched
T019,Matched
T020,Matched
T021,Matched
T022,Matched
T023,Matched
T024,Matched
T025,Matched
T026,Matched
T027,Matched
T028,Matched
T029,Matched
T030,Matched
T031,Matched
T032,Matched
T033,Matched
T034,Matched
T035,Matched
T036,Matched
T037,Matched
T038,Matched
T039,Matched
T040,Matched
T041,Matched
T042,Matched
T043,Matched
T044,Matched
T045,Matched
T046,Matched
T047,Matched
T048,Matched
T049,Matched
T050,Matched
T051,Matched
T052,Matched
T053,Matched
T054,Matched
T055,Matched
T056,Matched
T057,Matched
T058,Matched
T059,Matched
T060,Matched
T061,Amount Mismatch
T062,Amount Mismatch
T063,Amount Mismatch
T064,Amount Mismatch
T065,Amount Mismatch
T066,Amount Mismatch
T067,Amount Mismatch
T068,Amount Mismatch
T069,Amount Mismatch
T070,Amount Mismatch
T071,Missing Settlement
T072,Missing Settlement
T073,Missing Settlement
T074,Missing Settlement
T075,Missing Settlement
T076,Missing Settlement
T077,Missing Settlement
T078,Missing Settlement
T079,Duplicate Settlement
T080,Duplicate Settlement
T081,Duplicate Settlement
T082,Duplicate Settlement
T083,Duplicate Settlement
T084,Date Mismatch
T085,Date Mismatch
T086,Date Mismatch
T087,Date Mismatch
T088,Matched
T089,Matched
T090,Matched
T091,Matched
T092,Matched
T093,Matched
T094,Matched
T095,Matched
T096,Matched
T097,Matched
T098,Matched
T099,Matched
T100,Matched
