transaction_id,customer_id,amount,payment_date,payment_status
T001,C001,250.0,2026-08-25,Success
T002,C002,2500.0,2026-08-25,Success
T003,C003,2000.0,2026-08-25,Success
T004,C004,1250.0,2026-08-25,Success
T005,C005,1250.0,2026-08-25,Success
T006,C006,3000.0,2026-08-25,Success
T007,C007,250.0,2026-08-25,Success
T008,C008,2000.0,2026-08-25,Success
T009,C009,750.0,2026-08-25,Success
T010,C010,250.0,2026-08-25,Success
T011,C011,1500.0,2026-08-26,Success
T012,C012,5000.0,2026-08-26,Success
T013,C013,2500.0,2026-08-26,Success
T014,C014,2500.0,2026-08-26,Success
T015,C015,2500.0,2026-08-26,Success
T016,C016,2500.0,2026-08-26,Success
T017,C017,1500.0,2026-08-26,Success
T018,C018,500.0,2026-08-26,Success
T019,C019,3000.0,2026-08-26,Success
T020,C020,1250.0,2026-08-26,Success
T021,C021,1500.0,2026-08-27,Success
T022,C022,1000.0,2026-08-27,Success
T023,C023,500.0,2026-08-27,Success
T024,C024,5000.0,2026-08-27,Success
T025,C025,2500.0,2026-08-27,Success
T026,C026,2000.0,2026-08-27,Success
T027,C027,1250.0,2026-08-27,Success
T028,C028,3000.0,2026-08-27,Success
T029,C029,1500.0,2026-08-27,Success
T030,C030,1250.0,2026-08-27,Success
T031,C031,1250.0,2026-08-28,Success
T032,C032,750.0,2026-08-28,Success
T033,C033,250.0,2026-08-28,Success
T034,C034,1500.0,2026-08-28,Success
T035,C035,3000.0,2026-08-28,Success
T036,C036,250.0,2026-08-28,Success
T037,C037,3000.0,2026-08-28,Success
T038,C038,3000.0,2026-08-28,Success
T039,C039,750.0,2026-08-28,Success
T040,C040,2000.0,2026-08-28,Success
T041,C041,500.0,2026-08-29,Success
T042,C042,2500.0,2026-08-29,Success
T043,C043,2500.0,2026-08-29,Success
T044,C044,1000.0,2026-08-29,Success
T045,C045,250.0,2026-08-29,Success
T046,C046,5000.0,2026-08-29,Success
T047,C047,1250.0,2026-08-29,Success
T048,C048,3000.0,2026-08-29,Success
T049,C049,2000.0,2026-08-29,Success
T050,C050,2500.0,2026-08-29,Success
T051,C051,2500.0,2026-08-30,Success
T052,C052,500.0,2026-08-30,Success
T053,C053,1000.0,2026-08-30,Success
T054,C054,1250.0,2026-08-30,Success
T055,C055,1250.0,2026-08-30,Success
T056,C056,250.0,2026-08-30,Success
T057,C057,1500.0,2026-08-30,Success
T058,C058,500.0,2026-08-30,Success
T059,C059,2500.0,2026-08-30,Success
T060,C060,2000.0,2026-08-30,Success
T061,C061,5000.0,2026-08-31,Success
T062,C062,2500.0,2026-08-31,Success
T063,C063,1000.0,2026-08-31,Success
T064,C064,5000.0,2026-08-31,Success
T065,C065,1250.0,2026-08-31,Success
T066,C066,1000.0,2026-08-31,Success
T067,C067,5000.0,2026-08-31,Success
T068,C068,1000.0,2026-08-31,Success
T069,C069,250.0,2026-08-31,Success
T070,C070,1250.0,2026-08-31,Success
T071,C071,2500.0,2026-09-01,Success
T072,C072,500.0,2026-09-01,Success
T073,C073,1250.0,2026-09-01,Success
T074,C074,500.0,2026-09-01,Success
T075,C075,2000.0,2026-09-01,Success
T076,C076,1250.0,2026-09-01,Success
T077,C077,1000.0,2026-09-01,Success
T078,C078,750.0,2026-09-01,Success
T079,C079,1500.0,2026-09-01,Success
T080,C080,2000.0,2026-09-01,Success
T081,C081,5000.0,2026-09-02,Success
T082,C082,1250.0,2026-09-02,Success
T083,C083,500.0,2026-09-02,Success
T084,C084,3000.0,2026-09-02,Success
T085,C085,2000.0,2026-09-02,Success
T086,C086,2500.0,2026-09-02,Success
T087,C087,250.0,2026-09-02,Success
T088,C088,1000.0,2026-09-02,Success
T089,C089,2500.0,2026-09-02,Success
T090,C090,3000.0,2026-09-02,Success
T091,C091,1250.0,2026-09-03,Success
T092,C092,3000.0,2026-09-03,Success
T093,C093,3000.0,2026-09-03,Success
T094,C094,1000.0,2026-09-03,Success
T095,C095,3000.0,2026-09-03,Success
T096,C096,750.0,2026-09-03,Success
T097,C097,750.0,2026-09-03,Success
T098,C098,2000.0,2026-09-03,Success
T099,C099,2000.0,2026-09-03,Success
T100,C100,500.0,2026-09-03,Success
