settlement_id,transaction_id,settled_amount,settlement_date,settlement_status
S001,T001,250.0,2026-08-26,Settled
S002,T002,2500.0,2026-08-26,Settled
S003,T003,2000.0,2026-08-26,Settled
S004,T004,1250.0,2026-08-26,Settled
S005,T005,1250.0,2026-08-26,Settled
S006,T006,3000.0,2026-08-26,Settled
S007,T007,250.0,2026-08-26,Settled
S008,T008,2000.0,2026-08-26,Settled
S009,T009,750.0,2026-08-26,Settled
S010,T010,250.0,2026-08-26,Settled
S011,T011,1500.0,2026-08-27,Settled
S012,T012,5000.0,2026-08-27,Settled
S013,T013,2500.0,2026-08-27,Settled
S014,T014,2500.0,2026-08-27,Settled
S015,T015,2500.0,2026-08-27,Settled
S016,T016,2500.0,2026-08-27,Settled
S017,T017,1500.0,2026-08-27,Settled
S018,T018,500.0,2026-08-27,Settled
S019,T019,3000.0,2026-08-27,Settled
S020,T020,1250.0,2026-08-27,Settled
S021,T021,1500.0,2026-08-28,Settled
S022,T022,1000.0,2026-08-28,Settled
S023,T023,500.0,2026-08-28,Settled
S024,T024,5000.0,2026-08-28,Settled
S025,T025,2500.0,2026-08-28,Settled
S026,T026,2000.0,2026-08-28,Settled
S027,T027,1250.0,2026-08-28,Settled
S028,T028,3000.0,2026-08-28,Settled
S029,T029,1500.0,2026-08-28,Settled
S030,T030,1250.0,2026-08-28,Settled
S031,T031,1250.0,2026-08-29,Settled
S032,T032,750.0,2026-08-29,Settled
S033,T033,250.0,2026-08-29,Settled
S034,T034,1500.0,2026-08-29,Settled
S035,T035,3000.0,2026-08-29,Settled
S036,T036,250.0,2026-08-29,Settled
S037,T037,3000.0,2026-08-29,Settled
S038,T038,3000.0,2026-08-29,Settled
S039,T039,750.0,2026-08-29,Settled
S040,T040,2000.0,2026-08-29,Settled
S041,T041,500.0,2026-08-30,Settled
S042,T042,2500.0,2026-08-30,Settled
S043,T043,2500.0,2026-08-30,Settled
S044,T044,1000.0,2026-08-30,Settled
S045,T045,250.0,2026-08-30,Settled
S046,T046,5000.0,2026-08-30,Settled
S047,T047,1250.0,2026-08-30,Settled
S048,T048,3000.0,2026-08-30,Settled
S049,T049,2000.0,2026-08-30,Settled
S050,T050,2500.0,2026-08-30,Settled
S051,T051,2500.0,2026-08-31,Settled
S052,T052,500.0,2026-08-31,Settled
S053,T053,1000.0,2026-08-31,Settled
S054,T054,1250.0,2026-08-31,Settled
S055,T055,1250.0,2026-08-31,Settled
S056,T056,250.0,2026-08-31,Settled
S057,T057,1500.0,2026-08-31,Settled
S058,T058,500.0,2026-08-31,Settled
S059,T059,2500.0,2026-08-31,Settled
S060,T060,2000.0,2026-08-31,Settled
S061,T061,4900.0,2026-09-01,Settled
S062,T062,2400.0,2026-09-01,Settled
S063,T063,900.0,2026-09-01,Settled
S064,T064,4900.0,2026-09-01,Settled
S065,T065,1150.0,2026-09-01,Settled
S066,T066,900.0,2026-09-01,Settled
S067,T067,4900.0,2026-09-01,Settled
S068,T068,900.0,2026-09-01,Settled
S069,T069,150.0,2026-09-01,Settled
S070,T070,1150.0,2026-09-01,Settled
S071,T079,1500.0,2026-09-02,Settled
S072,T080,2000.0,2026-09-02,Settled
S073,T081,5000.0,2026-09-03,Settled
S074,T082,1250.0,2026-09-03,Settled
S075,T083,500.0,2026-09-03,Settled
S076,T084,3000.0,2026-09-07,Settled
S077,T085,2000.0,2026-09-07,Settled
S078,T086,2500.0,2026-09-07,Settled
S079,T087,250.0,2026-09-07,Settled
S080,T088,1000.0,2026-09-03,Settled
S081,T089,2500.0,2026-09-03,Settled
S082,T090,3000.0,2026-09-03,Settled
S083,T091,1250.0,2026-09-04,Settled
S084,T092,3000.0,2026-09-04,Settled
S085,T093,3000.0,2026-09-04,Settled
S086,T094,1000.0,2026-09-04,Settled
S087,T095,3000.0,2026-09-04,Settled
S088,T096,750.0,2026-09-04,Settled
S089,T097,750.0,2026-09-04,Settled
S090,T098,2000.0,2026-09-04,Settled
S091,T099,2000.0,2026-09-04,Settled
S092,T100,500.0,2026-09-04,Settled
S093,T081,5000.0,2026-09-03,Settled
S094,T079,1500.0,2026-09-02,Settled
S095,T083,500.0,2026-09-03,Settled
S096,T080,2000.0,2026-09-02,Settled
S097,T082,1250.0,2026-09-03,Settled
S098,T901,1800.0,2026-09-02,Settled
S099,T902,2750.0,2026-09-02,Settled
S100,T903,4200.0,2026-09-02,Settled
